Pretrained,CUI
1,C0006271
0,C2077320
1,C0231528
1,C0521839
1,C0476273
1,C0231835
1,C0018681
1,C0013404
0,C1656431
1,C0242429
0,AC000005
1,C0700292
1,C0027497
0,C0729744
1,C0027424
0,AC000006
1,C0085593
1,C0043144
1,C0003862
0,C0425545
1,C0000737
0,C1978700
1,C0038450
1,C0424781
1,C0010380
1,C0035508
1,C0576456
1,C1260880
1,C0008031
1,C0006277
1,C0234866
1,C0231218
1,C0032285
1,C0003578
0,OC3842377
1,C0239134
0,C0343484
1,C0019825
1,C0032310
1,C0010520
1,C0042740
1,C0241902
0,C2939015
1,C0015672
1,C0003123
1,C0235896
0,C2055125
1,C0850149
1,C0232498
1,C0277873
1,C0235592
0,OC0031350
0,C2215098
1,C0420679
1,C0036572
1,C0026837
1,C0009763
1,C0031350
1,C1276802
1,C0391853
0,C2051411
1,C0042963