Pretrained,CUI,Title,description,Wiki,No + Title
1,C0006271,Bronchiolitis,"Inflammation of the BRONCHIOLES. Inflammation of the bronchioles. [DDD:tkuijpers] Inflammation of the bronchioles characterized by swelling of the bronchioles and mucus accumulation. It is usually caused by the respiratory syncytial virus and affects children. Signs and symptoms include coughing, wheezing, and shortness of breath.","Bronchiolitis is inflammation of the small airways in the lungs. Acute bronchiolitis is due to a viral infection usually affecting children younger than two years of age.[5] Symptoms may include fever, cough, runny nose, wheezing, and breathing problems.[1] More severe cases may be associated with nasal flaring, grunting, or the skin between the ribs pulling in with breathing.[1] If the child has not been able to feed properly, signs of dehydration may be present.[1]",No Bronchiolitis
0,C2077320,, ,,
1,C0231528,Myalgia,Myalgia: Pain or aching in a muscle or muscles. Painful sensation in the muscles. Pain in muscle. [HPO:probinson] Painful sensation originating from a muscle or group of muscles.,"Myalgia (also called muscle pain and muscle ache in layman's terms) is the medical term for muscle pain. Myalgia is a symptom of many diseases. The most common cause of acute myalgia is the overuse of a muscle or group of muscles; another likely cause is viral infection, especially when there has been no trauma.",No Myalgia
1,C0521839,, ,,
1,C0476273,Respiratory distress,"Respiratory distress is objectively observable as the physical or emotional consequences from the experience of dyspnea. The physical presentation of respiratory distress is generally referred to as labored breathing, while the sensation of respiratory distress is called shortness of breath or dyspnea. [] A pathological increase in the effort and frequency of breathing movements.","Acute respiratory distress syndrome (ARDS) is a type of respiratory failure characterized by rapid onset of widespread inflammation in the lungs.[1] Symptoms include shortness of breath (dyspnea), rapid breathing (tachypnea), and bluish skin coloration (cyanosis).[1] For those who survive, a decreased quality of life is common.[4]",No Respiratory distress
1,C0231835,,Abnormal increase of rate of breathing. Increased RESPIRATORY RATE. Very rapid breathing. [HPO:probinson],"Tachypnea, also spelt tachypnoea, is a respiratory rate greater than normal, resulting in abnormally rapid and shallow breathing.",
1,C0018681,Headache,"The symptom of PAIN in the cranial region. It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS. <p>Almost everyone has had a headache. Headache is the most common form of pain. It's a major reason people miss days at work or school or visit the doctor.</p> <p>The most common type of headache is a tension headache. Tension headaches are due to tight muscles in your shoulders, neck, scalp and jaw. They are often related to stress, depression or anxiety. You are more likely to get tension headaches if you work too much, don't get enough sleep, miss meals, or use alcohol.</p> <p>Other common types of headaches include <a href=""https://medlineplus.gov/migraine.html"">migraines</a>, cluster headaches, and sinus headaches. Most people can feel much better by making lifestyle changes, learning ways to relax and taking <a href=""https://medlineplus.gov/painrelievers.html"">pain relievers</a>.</p> <p>Not all headaches require a doctor's attention. But sometimes headaches warn of a more serious disorder. Let your health care provider know if you have sudden, severe headaches. Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear.</p> <p class="""">NIH: National Institute of Neurological Disorders and Stroke</p> Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve. [HPO:probinson, PMID:15304572] Pain in various parts of the head, not confined to the area of distribution of any nerve. pain in the cranial region that may occur as an isolated and benign symptom or as a manifestation of a wide variety of conditions.","Headache, also known as cephalalgia, is the symptom of pain in the face, head, or neck. It can occur as a migraine, tension-type headache, or cluster headache.[1][2] There is an increased risk of depression in those with severe headaches",No Headache
1,C0013404,Shortness of Breath,"Difficult or labored breathing. Difficult or labored breathing. Dyspnea is a subjective feeling only the patient can rate, e.g., on a Borg scale. [HPO:probinson, PMID:16914301] Difficulty in breathing which may or may not have an organic cause. An uncomfortable sensation of difficulty breathing. It may present as an acute or chronic sign of an underlying respiratory or heart disorder. labored or difficult breathing associated with a variety of disorders, indicating inadequate ventilation or low blood oxygen or a subjective experience of breathing discomfort.","Shortness of breath (SOB), also medically known as dyspnea (in AmE) or dyspnoea (in BrE), is an uncomfortable feeling of not being able to breathe well enough. The American Thoracic Society defines it as ""a subjective experience of breathing discomfort that consists of qualitatively distinct sensations that vary in intensity"", and recommends evaluating dyspnea by assessing the intensity of its distinct sensations, the degree of distress and discomfort involved, and its burden or impact on the patient's activities of daily living. Distinct sensations include effort/work to breathe, chest tightness or pain, and ""air hunger"" (the feeling of not enough oxygen).[1] The tripod position is often assumed to be a sign.",No Shortness of Breath
0,C1656431,, ,,
1,C0242429,Sore throat,"Any kind of inflammatory process of the tonsils, pharynx, or/and larynx characterized by pain in swallowing. <p>Your throat is a tube that carries food to your esophagus and air to your windpipe and larynx (also called the voice box). The technical name for the throat is pharynx.</p> <p>You can have a sore throat for many reasons. Often, <a href=""https://medlineplus.gov/commoncold.html"">colds</a> and <a href=""https://medlineplus.gov/flu.html"">flu</a> cause sore throats. Other causes can include:</p> <ul> <li><a href=""https://medlineplus.gov/allergy.html"">Allergies</a></li> <li><a href=""https://medlineplus.gov/infectiousmononucleosis.html"">Mononucleosis</a></li> <li><a href=""https://medlineplus.gov/smoking.html"">Smoking</a></li> <li><a href=""https://medlineplus.gov/streptococcalinfections.html"">Strep throat</a></li> <li><a href=""https://medlineplus.gov/tonsillitis.html"">Tonsillitis</a></li> </ul> <p>Treatment depends on the cause. Sucking on lozenges, drinking lots of liquids, and gargling may ease the pain. Over-the-counter pain relievers can also help, but children should not take aspirin.</p>","Sore throat, also known as throat pain, is pain or irritation of the throat.[1] Usually, causes of sore throat include:

viral infections
group A streptococcal infection (GAS) bacterial infection[2]
pharyngitis (inflammation of the throat)
tonsillitis (inflammation of the tonsils), or dehydration, which leads to the throat drying up.",No Sore throat
0,AC000005,, ,,
1,C0700292,Hypoxemia,"A finding indicating decreased oxygen levels in the blood. An abnormally low level of blood oxygen. [HPO:probinson] A finding indicating decreased oxygen levels in the blood. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C93047"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C93047"" NCI Thesaurus)","Hypoxemia is an abnormally low level of oxygen in the blood.[1][2] More specifically, it is oxygen deficiency in arterial blood.[3] Hypoxemia has many causes, and often causes hypoxia as the blood is not supplying enough oxygen to the tissues of the body.",No Hypoxemia
1,C0027497,Nausea,"An unpleasant sensation in the stomach usually accompanied by the urge to vomit. Common causes are early pregnancy, sea and motion sickness, emotional stress, intense pain, food poisoning, and various enteroviruses. A sensation of unease in the stomach together with an urge to vomit. [HPO:probinson, PMID:26770271] A subjective phenomenon of an unpleasant feeling in the back of the throat and stomach, which may or may not result in vomiting. Distaste for food/fluid and an urge to vomit Upper abdominal discomfort associated with an urge to vomit. unpleasant sensation in the stomach usually accompanied by the urge to vomit.","Nausea is a diffuse sensation of unease and discomfort, sometimes perceived as an urge to vomit.[1] While not painful, it can be a debilitating symptom if prolonged and has been described as placing discomfort on the chest, abdomen, or back of the throat",No Nausea
0,C0729744,, ,,
1,C0027424,Nasal congestion,Reduced ability to pass air through the nasal cavity often leading to mouth breathing. [HPO:probinson] The blockage of the nasal passage due to mucosal edema. It is usually the result of a viral infection or an allergic reaction.,"Nasal congestion is the partial or complete blockage of nasal passages, leading to impaired nasal breathing, usually due to membranes lining the nose becoming swollen from inflammation of blood vessels.",No Nasal congestion
0,AC000006,, ,,
1,C0085593,Chills,The sudden sensation of being cold. It may be accompanied by SHIVERING. A sudden sensation of feeling cold. [] Shivering or moderate tremors of the body often accompanied by a cold sensation.,"Chills is a feeling of coldness occurring during a high fever, but sometimes is also a common symptom which occurs alone in specific people. It occurs during fever due to the release of cytokines and prostaglandins as part of the inflammatory response, which increases the set point for body temperature in the hypothalamus. The increased set point causes the body temperature to rise (pyrexia), but also makes the patient feel cold or chills until the new set point is reached. Shivering also occurs along with chills because the patient's body produces heat during muscle contraction in a physiological attempt to increase body temperature to the new set point.[1] When it does not accompany a high fever, it is normally a light chill.",No Chills
1,C0043144,wheezing,"A symptom and a finding during physical examination, characterized by a high-pitched, whistling sound during breathing. It results from the narrowing or obstruction of the respiratory airways. The most common causes of wheezing are asthma, chronic obstructive pulmonary disease, tracheobronchitis, and pulmonary edema. A high-pitched whistling sound associated with labored breathing. [HPO:probinson, PMID:26229557]","A wheeze is a clinical symptom of a continuous, coarse, whistling sound produced in the respiratory airways during breathing.[1] For wheezes to occur, some part of the respiratory tree must be narrowed or obstructed (for example narrowing of the lower respiratory tract in an asthmatic attack), or airflow velocity within the respiratory tree must be heightened. Wheezing is commonly experienced by persons with a lung disease; the most common cause of recurrent wheezing is asthma, though it can also be a symptom of lung cancer, congestive heart failure, and certain types of heart diseases.",No wheezing
1,C0003862,Arthralgia,"Pain in the joint. Pain in a joint. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C50464"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C50464"" NCI Thesaurus) Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in one or more joints, including small and big joints. Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in one or more joints, including small and big joints.","Arthralgia (from Greek arthro-, joint + -algos, pain) literally means joint pain.[1][2] Specifically, arthralgia is a symptom of injury, infection, illness (in particular arthritis), or an allergic reaction to medication.[3]",No Arthralgia
0,C0425545,, ,,
1,C0000737,Abdominal Pain,"Sensation of discomfort, distress, or agony in the abdominal region. <p>Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. </p> <p>Call your health care provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if:</p><ul> <li> You have abdominal pain that is sudden and sharp</li> <li>You also have pain in your chest, neck or shoulder </li> <li> You're vomiting blood or have blood in your stool </li> <li> Your abdomen is stiff, hard and tender to touch </li> <li>You can't move your bowels, especially if you're also vomiting </li> </ul> Painful sensation in the abdominal region. An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the abdomen. [HPO:probinson]","Abdominal pain, also known as a stomach ache, Is a symptom associated with both non-serious and serious medical issues. Since the abdomen contains most of the body's vital organs, it can be an indicator of a wide variety of diseases. Given that, approaching the examination of a person and planning of a differential diagnosis is extremely important.",No Abdominal Pain
0,C1978700,, ,,
1,C0038450,Stridor,"A symptom resulting from laryngeal obstruction. It is characterized by a high pitched breathing sound. Stridor is a high pitched sound resulting from turbulent air flow in the upper airway. [HPO:probinson, PMID:26229557]","Stridor (Latin for ""creaking or grating noise"") is a high-pitched extra-thoracic breath sound resulting from turbulent air flow in the larynx or lower in the bronchial tree. It is different from a stertor which is a noise originating in the pharynx",No Stridor
1,C0424781,, ,,
1,C0010380,Croup,"Inflammation involving the GLOTTIS or VOCAL CORDS and the subglottic larynx. Croup is characterized by a barking cough, HOARSENESS, and persistent inspiratory STRIDOR (a high-pitched breathing sound). It occurs chiefly in infants and children. <p>Croup is an inflammation of the vocal cords (larynx) and windpipe (trachea). It causes difficulty breathing, a barking cough, and a hoarse voice. The cause is usually a virus, often <a href=""https://medlineplus.gov/viralinfections.html"">parainfluenza virus</a>. Other causes include <a href=""https://medlineplus.gov/allergy.html"">allergies</a> and <a href=""https://medlineplus.gov/gerd.html"">reflux</a>.</p> <p>Croup often starts out like a cold. But then the vocal cords and windpipe become swollen, causing the hoarseness and the cough. There may also be a fever and high-pitched noisy sounds when breathing. The symptoms are usually worse at night, and last for about three to five days. Children between the ages of 6 months and 3 years have the highest risk of getting croup. They may also have more severe symptoms. Croup is more common in the fall and winter.</p> <p>Most cases of viral croup are mild and can be treated at home. Rarely, croup can become serious and interfere with your child's breathing. If you are worried about your child's breathing, call your health care provider right away.</p> Acute upper respiratory airways infection that results in the swelling of the larynx. It is usually caused by parainfluenza viruses. Signs include a characteristic barking cough and stridor.","Croup, also known as laryngotracheobronchitis, is a type of respiratory infection that is usually caused by a virus.[2] The infection leads to swelling inside the trachea, which interferes with normal breathing and produces the classic symptoms of ""barking/brassy"" cough, inspiratory stridor and a hoarse voice.[2] Fever and runny nose may also be present.[2] These symptoms may be mild, moderate, or severe.[3] Often it starts or is worse at night and normally lasts one to two days",No Croup
1,C0035508,Rhonchi,"An abnormal sound similar to snoring heard on auscultation of the bronchial airways, suggesting a partial obstruction due to thick secretions, a muscular spasm, or a neoplasm. Abnormal breath sounds characterized by low-pitched, snoring or rattle-like sounds. [PMID:26229557, UToronto:chum]","Rhonchi are coarse rattling respiratory sounds, usually caused by secretions in bronchial airways. The sounds resemble snoring.",No Rhonchi
1,C0576456,Feeding poor,"Occurs either when an infant shows no interest in feeding or when there is an inability to take in adequate nutrition. Poor feeding is a nonspecific symptom of many disorders, including neurological, genetic, structural, metabolic, and infectious diseases.","A feeding disorder, in infancy or early childhood, is a child's refusal to eat certain food groups, textures, solids or liquids for a period of at least one month, which causes the child to not gain enough weight, grow naturally or cause any developmental delays.[1] Feeding disorders resemble failure to thrive, except that at times in feeding disorder there is no medical or physiological condition that can explain the very small amount of food the children consume or their lack of growth. Some of the times, a previous medical condition that has been resolved is causing the issue.",No Feeding poor
1,C1260880,Rhinorrhea,A discharge of fluid from the nose. Increased discharge of mucus from the nose. [],"Rhinorrhea, rhinorrhoea, or informally runny nose is the free discharge of a thin mucus fluid from the nose;[1] it is a common condition. It is a common symptom of allergies (hay fever) or certain viral infections, such as the common cold or COVID-19. It can be a side effect of crying, exposure to cold temperatures, cocaine abuse,[2] or drug withdrawal, such as from methadone or other opioids.[3] Treatment for rhinorrhea may be aimed at reducing symptoms or treating underlying causes. Rhinorrhea usually resolves without intervention, but may require treatment by a doctor if symptoms last more than 10 days or if symptoms are the result of foreign bodies in the nose.",No Rhinorrhea
1,C0008031,Chest pain,"Pressure, burning, or numbness in the chest. <p>Having a pain in your chest can be scary. It does not always mean that you are having a <a href=""https://medlineplus.gov/heartattack.html"">heart attack</a>. There can be many other causes, including:</p><ul> <li>Other heart problems, such as <a href=""https://medlineplus.gov/angina.html"">angina</a></li> <li><a href=""https://medlineplus.gov/panicdisorder.html"">Panic attacks</a></li> <li>Digestive problems, such as <a href=""https://medlineplus.gov/heartburn.html"">heartburn</a> or <a href=""https://medlineplus.gov/esophagusdisorders.html"">esophagus disorders</a></li> <li>Sore muscles</li> <li>Lung diseases, such as <a href=""https://medlineplus.gov/pneumonia.html"">pneumonia</a>, <a href=""https://medlineplus.gov/pleuraldisorders.html"">pleurisy</a>, or <a href=""https://medlineplus.gov/pulmonaryembolism.html"">pulmonary embolism</a></li> <li>Costochondritis - an inflammation of joints in your chest</li> </ul> <p>Some of these problems can be serious. Get immediate medical care if you have chest pain that does not go away, crushing pain or pressure in the chest, or chest pain along with nausea, sweating, dizziness or shortness of breath. Treatment depends on the cause of the pain.</p> Pain in the chest. An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the chest. [] Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in the chest. Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in the chest.","Chest pain is pain or discomfort in the chest, typically the front of the chest.[1] It may be described as sharp, dull, pressure, heaviness or squeezing.[3] Associated symptoms may include pain in the shoulder, arm, upper abdomen, or jaw, along with nausea, sweating, or shortness of breath.[1][3] It can be divided into heart-related and non-heart-related pain.[1][2] Pain due to insufficient blood flow to the heart is also called angina pectoris.[5] Those with diabetes or the elderly may have less clear symptoms.",No Chest pain
1,C0006277,Bronchitis,"Inflammation of the large airways in the lung including any part of the BRONCHI, from the PRIMARY BRONCHI to the TERTIARY BRONCHI. Inflammation of the large airways in the lung including any part of the bronchi from the primary bronchi to the tertiary bronchi. [HPO:probinson] An acute or chronic inflammatory process affecting the bronchi.","Bronchitis is inflammation of the bronchi (large and medium-sized airways) in the lungs that causes coughing. Bronchitis usually begins as an infection in the nose, ears, throat, or sinuses. The infection then makes its way down to the bronchi. Symptoms include coughing up sputum, wheezing, shortness of breath, and chest pain. Bronchitis can be acute or chronic",No Bronchitis
1,C0234866,barking cough,"A cough with a characteristic sound that has been compared to a seal's bark. [PMID:16936230, PMID:28613724]","A harsh cough that sounds somewhat like a dog barking, as with croup",No barking cough
1,C0231218,Malaise,"Malaise: a vague feeling of physical discomfort or apprehension. A feeling of general discomfort, weakness, or lack of health. [] A feeling of general discomfort or uneasiness, an out-of-sorts feeling.","As a medical term, malaise is a feeling of general discomfort, uneasiness or lack of wellbeing and often the first sign of an infection or other disease.",No Malaise
