Pretrained,CUI,Title,description,Wiki,No + Title
1,C0032285,Pneumonia,"Infection of the lung often accompanied by inflammation. <h3>What is pneumonia?</h3> <p>Pneumonia is an infection in one or both of the lungs. It causes the air sacs of the lungs to fill up with fluid or pus. It can range from mild to severe, depending on the type of germ causing the infection, your age, and your overall health.</p> <h3>What causes pneumonia?</h3> <p><a href=""https://medlineplus.gov/bacterialinfections.html"">Bacterial</a>, <a href=""https://medlineplus.gov/viralinfections.html"">viral</a>, and <a href=""https://medlineplus.gov/fungalinfections.html"">fungal</a> infections can cause pneumonia.</p> <p>Bacteria are the most common cause. Bacterial pneumonia can occur on its own. It can also develop after you've had certain viral infections such as a <a href=""https://medlineplus.gov/commoncold.html"">cold</a> or the <a href=""https://medlineplus.gov/flu.html"">flu</a>. Several different types of bacteria can cause pneumonia, including:</p><ul> <li><a href=""https://medlineplus.gov/pneumococcalinfections.html"">Streptococcus pneumoniae</a></li> <li>Legionella pneumophila; this pneumonia is often called <a href=""https://medlineplus.gov/legionnairesdisease.html"">Legionnaires' disease</a></li> <li>Mycoplasma pneumoniae</li> <li>Chlamydia pneumoniae</li> <li><a href=""https://medlineplus.gov/haemophilusinfections.html"">Haemophilus influenzae</a></li> </ul> <p>Viruses that infect the respiratory tract may cause pneumonia. Viral pneumonia is often mild and goes away on its own within a few weeks. But sometimes it is serious enough that you need to get treatment in a hospital. If you have viral pneumonia, you are at risk of also getting bacterial pneumonia. The different viruses that can cause pneumonia include:</p><ul> <li><a href=""https://medlineplus.gov/respiratorysyncytialvirusinfections.html"">Respiratory syncytial virus</a> (RSV)</li> <li>Some common cold and flu viruses</li> <li>SARS-CoV-2, the virus that causes <a href=""https://medlineplus.gov/covid19coronavirusdisease2019.html"">COVID-19</a></li> </ul> <p>Fungal pneumonia is more common in people who have chronic health problems or weakened immune systems. Some of the types include:</p><ul> <li><a href=""https://medlineplus.gov/pneumocystisinfections.html"">Pneumocystis pneumonia</a> (PCP)</li> <li>Coccidioidomycosis, which causes <a href=""https://medlineplus.gov/valleyfever.html"">valley fever</a></li> <li><a href=""https://medlineplus.gov/histoplasmosis.html"">Histoplasmosis</a></li> <li>Cryptococcus</li> </ul> <h3>Who is at risk for pneumonia?</h3> <p>Anyone can get pneumonia, but certain factors can increase your risk:</p><ul> <li>Age; the risk is higher for children who are age 2 and under and adults age 65 and older</li> <li>Exposure to certain chemicals, pollutants, or toxic fumes</li> <li>Lifestyle habits, such as <a href=""https://medlineplus.gov/smoking.html"">smoking</a>, <a href=""https://medlineplus.gov/alcohol.html"">heavy alcohol use</a>, and <a href=""https://medlineplus.gov/malnutrition.html"">malnourishment</a></li> <li>Being in a hospital, especially if you are in the <a href=""https://medlineplus.gov/criticalcare.html"">ICU</a>. Being sedated and/or on a ventilator raises the risk even more.</li> <li>Having a <a href=""https://medlineplus.gov/lungdiseases.html"">lung disease</a></li> <li>Having a weakened immune system</li> <li>Have trouble <a href=""https://medlineplus.gov/cough.html"">coughing</a> or <a href=""https://medlineplus.gov/swallowingdisorders.html"">swallowing</a>, from a <a href=""https://medlineplus.gov/stroke.html"">stroke</a> or other condition</li> <li>Recently being sick with a cold or the flu</li> </ul> <h3>What are the symptoms of pneumonia?</h3> <p>The symptoms of pneumonia can range from mild to severe and include:</p><ul> <li><a href=""https://medlineplus.gov/fever.html"">Fever</a></li> <li>Chills</li> <li>Cough, usually with phlegm (a slimy substance from deep in your lungs)</li> <li><a href=""https://medlineplus.gov/breathingproblems.html"">Shortness of breath</a></li> <li><a href=""https://medlineplus.gov/chestpain.html"">Chest pain</a> when you breathe or cough</li> <li><a href=""https://medlineplus.gov/nauseaandvomiting.html"">Nausea and/or vomiting</a></li> <li><a href=""https://medlineplus.gov/diarrhea.html"">Diarrhea</a></li> </ul> <p>The symptoms can vary for different groups. Newborns and infants may not show any signs of the infection. Others may vomit and have a fever and cough. They might seem sick, with no energy, or be restless.</p> <p>Older adults and people who have serious illnesses or weak immune systems may have fewer and milder symptoms. They may even have a lower than normal temperature. Older adults who have pneumonia sometimes have sudden changes in mental awareness.</p> <h3>What other problems can pneumonia cause?</h3> <p>Sometimes pneumonia can cause serious complications such as:</p><ul> <li>Bacteremia, which happens when the bacteria move into the bloodstream. It is serious and can lead to <a href=""https://medlineplus.gov/sepsis.html"">septic shock</a>.</li> <li>Lung <a href=""https://medlineplus.gov/abscess.html"">abscesses</a>, which are collections of pus in cavities of the lungs</li> <li><a href=""https://medlineplus.gov/pleuraldisorders.html"">Pleural disorders</a>, which are conditions that affect the pleura. The pleura is the tissue that covers the outside of the lungs and lines the inside of your chest cavity.</li> <li><a href=""https://medlineplus.gov/kidneyfailure.html"">Kidney failure</a></li> <li><a href=""https://medlineplus.gov/respiratoryfailure.html"">Respiratory failure</a></li> </ul> <h3>How is pneumonia diagnosed?</h3> <p>Sometimes pneumonia can be hard to diagnose. This is because it can cause some of the same symptoms as a cold or the flu. It may take time for you to realize that you have a more serious condition.</p> <p>Your health care provider may use many tools to make a diagnosis:</p><ul> <li>A medical history, which includes asking about your symptoms</li> <li>A physical exam, including listening to your lungs with a stethoscope</li> <li>Various tests, such as <ul> <li>A chest <a href=""https://medlineplus.gov/xrays.html"">x-ray</a></li> <li>Blood tests such as a <a href=""https://medlineplus.gov/lab-tests/complete-blood-count-cbc/"">complete blood count</a> (CBC) to see if your immune system is actively fighting an infection</li> <li>A <a href=""https://medlineplus.gov/lab-tests/bacteria-culture-test/"">Blood culture</a> to find out whether you have a bacterial infection that has spread to your bloodstream</li> </ul> </li> </ul> <p>If you are in the hospital, have serious symptoms, are older, or have other health problems, you may also have more tests, such as:</p><ul> <li>Sputum test, which checks for bacteria in a sample of your sputum (spit) or phlegm (slimy substance from deep in your lungs).</li> <li>Chest <a href=""https://medlineplus.gov/ctscans.html"">CT scan</a> to see how much of your lungs is affected. It may also show if you have complications such as lung abscesses or pleural effusions.</li> <li><a href=""https://medlineplus.gov/lab-tests/pleural-fluid-analysis/"">Pleural fluid culture</a>, which checks for bacteria in a fluid sample that was taken from the pleural space</li> <li>Pulse oximetry or <a href=""https://medlineplus.gov/lab-tests/blood-oxygen-level/"">blood oxygen level test,</a> to check how much oxygen is in your blood</li> <li>Bronchoscopy, a procedure used to look inside your lungs' airways</li> </ul> <h3>What are the treatments for pneumonia?</h3> <p>Treatment for pneumonia depends on the type of pneumonia, which germ is causing it, and how severe it is:</p><ul> <li><a href=""https://medlineplus.gov/antibiotics.html"">Antibiotics</a> treat bacterial pneumonia and some types of fungal pneumonia. They do not work for viral pneumonia.</li> <li>In some cases, your provider may prescribe antiviral medicines for viral pneumonia</li> <li>Antifungal medicines treat other types of fungal pneumonia</li> </ul> <p>You may need to be treated in a hospital if your symptoms are severe or if you are at risk for complications. While there, you may get additional treatments. For example, if your blood oxygen level is low, you may receive <a href=""https://medlineplus.gov/oxygentherapy.html"">oxygen therapy</a>.</p> <p>It may take time to recover from pneumonia. Some people feel better within a week. For other people, it can take a month or more.</p> <h3>Can pneumonia be prevented?</h3> <p>Vaccines can help prevent pneumonia caused by pneumococcal bacteria or the <a href=""https://medlineplus.gov/flushot.html"">flu virus</a>. Having <a href=""https://medlineplus.gov/germsandhygiene.html"">good hygiene</a>, not smoking, and having a <a href=""https://medlineplus.gov/healthyliving.html"">healthy lifestyle</a> may also help prevent pneumonia.</p> <p class="""">NIH: National Heart, Lung, and Blood Institute</p> Inflammation of any part of the lung parenchyma. [HPO:probinson] An acute, acute and chronic, or chronic inflammation focally or diffusely affecting the lung parenchyma, due to infections (viruses, fungi, mycoplasma, or bacteria), treatment (e.g. radiation), or exposure (inhalation) to chemicals. Symptoms include cough, shortness of breath, fevers, chills, chest pain, headache, sweating, and weakness. inflammation of the lungs with consolidation and exudation.","Pneumonia is an inflammatory condition of the lung primarily affecting the small air sacs known as alveoli.[3][14] Symptoms typically include some combination of productive or dry cough, chest pain, fever, and difficulty breathing.[15] The severity of the condition is variable.",No Pneumonia
1,C0003578,Apnea,A transient absence of spontaneous respiration. Lack of breathing with no movement of the respiratory muscles and no exchange of air in the lungs. This term refers to a disposition to have recurrent episodes of apnea rather than to a single event. [HPO:curators] Temporary absence of breathing or prolonged respiratory failure. cessation of breathing.,"Apnea, BrE: apnoea,[1] is the temporary cessation of breathing. During apnea, there is no movement of the muscles of inhalation,[citation needed] and the volume of the lungs initially remains unchanged. Depending on how blocked the airways are (patency), there may or may not be a flow of gas between the lungs and the environment. If there is sufficient flow, gas exchange within the lungs and cellular respiration would not be severely affected. Voluntarily doing this is called holding one's breath. Apnea may first be diagnosed in childhood, and it is recommended to consult an ENT specialist, allergist or sleep physician to discuss symptoms when noticed; malformation and/or malfunctioning of the upper airways may be observed by an orthodontist.",No Apnea
0,OC3842377,, ,,
1,C0239134,Productive cough,A cough accompanied by expectorated secretions. A cough that produces phlegm or mucus. [],a cough when phlegm is produced that may be coughed up as sputum,No Productive cough
0,C0343484,, ,,
1,C0019825,hoarseness,"An unnaturally deep or rough quality of voice. Harsh and raspy voice secondary to laryngeal infection, voice overuse, irritants inhalation, vocal cord paralysis, vocal cord polyps, and malignant neoplasms arising from or spreading to the larynx. Hoarseness refers to a change in the pitch or quality of the voice, with the voice sounding weak, very breathy, scratchy, or husky. [HPO:probinson]","A hoarse voice, also known as dysphonia or hoarseness,[1] is when the voice involuntarily sounds breathy, raspy, or strained, or is softer in volume or lower in pitch.[2][3][clarification needed] A hoarse voice can be associated with a feeling of unease or scratchiness in the throat.[2] Hoarseness is often a symptom of problems in the vocal folds of the larynx.[2] It may be caused by laryngitis, which in turn may be caused by an upper respiratory infection, a cold, or allergies.[2] Cheering at sporting events, speaking loudly in noisy situations, talking for too long without resting one's voice, singing loudly, or speaking with a voice that's too high or too low can also cause temporary hoarseness.[2] A number of other causes for losing one's voice exist, and treatment is generally by resting the voice and treating the underlying cause.[2] If the cause is misuse or overuse of the voice, drinking plenty of water may alleviate the problems",No hoarseness
1,C0032310,viral pneumonia.,Inflammation of the lung parenchyma that is caused by a viral infection. pneumonia (inflammation of the lungs) caused by a virus.,"Viral pneumonia is a pneumonia caused by a virus. Pneumonia is an infection that causes inflammation in one or both of the lungs. The pulmonary alveoli fill with fluid or pus making it difficult to breathe.[1] Pneumonia can be caused by bacteria, viruses, fungi or parasites.[1] Viruses are the most common cause of pneumonia in children, while in adults bacteria are a more common cause",No viral pneumonia.
1,C0010520,Cyanosis,A bluish or purplish discoloration of the skin and mucous membranes due to an increase in the amount of deoxygenated hemoglobin in the blood or a structural defect in the hemoglobin molecule. Bluish discoloration of the skin and mucosa due to poor circulation or inadequate oxygenation of arterial or capillary blood. [PMID:25658213] A bluish or purplish discoloration of the skin and mucous membranes resulting from a reduced concentration of oxygenated hemoglobin in the blood. blueness of the skin caused by excessive amounts of deoxyhemoglobin in the skin vessels. blue-colored skin caused by too little oxygen in the blood,"Cyanosis is the change of body tissue color to a bluish-purple hue, as a result of decrease in the amount of oxygen bound to the hemoglobin in the red blood cells of the capillary bed.[1] Cyanosis is apparent usually in the body tissues covered with thin skin, including the mucous membranes, lips, nail beds, and ear lobes.[1] Some medications may cause discoloration such as medications containing amiodarone or silver. Furthermore, mongolian spots, large birthmarks, and the consumption of food products with blue or purple dyes can also result in the bluish skin tissue discoloration and may be mistaken for cyanosis.[2][3] Appropriate physical examination and history taking is a crucial part to diagnose cyanosis. Management of cyanosis involves treating the main cause, as cyanosis isn’t a disease, it is a symptom",No Cyanosis
1,C0042740,, ,,
1,C0241902,, ,,
0,C2939015,, ,,
1,C0015672,Fatigue,"The state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli. <p>Everyone feels tired now and then. Sometimes you may just want to stay in bed. But, after a good night's sleep, most people feel refreshed and ready to face a new day. If you continue to feel tired for weeks, it's time to see your doctor. He or she may be able to help you find out what's causing your fatigue and recommend ways to relieve it.</p> <p>Fatigue itself is not a disease. Medical problems, treatments, and personal habits can add to fatigue. These include:</p><ul> <li>Taking certain medicines, such as antidepressants, antihistamines, and medicines for nausea and pain</li> <li>Having medical treatments, like chemotherapy and radiation</li> <li>Recovering from major surgery</li> <li>Anxiety, stress, or depression</li> <li>Staying up too late</li> <li>Drinking too much alcohol or too many caffeinated drinks</li> <li>Pregnancy</li> </ul> <p>One disorder that causes extreme fatigue is <a href=""https://medlineplus.gov/chronicfatiguesyndrome.html"">chronic fatigue syndrome</a> (CFS). This fatigue is not the kind of tired feeling that goes away after you rest. Instead, it lasts a long time and limits your ability to do ordinary daily activities.</p> <p class="""">NIH: National Institute on Aging</p> A subjective feeling of tiredness characterized by a lack of energy and motivation. [HPO:probinson] An overwhelming sustained sense of exhaustion and decreased capacity for physical and mental work at the usual level. Fatigue refers to a lack of energy, and it may be either acute or chronic. Fatigue may result from exertion, stress, and a wide variety of underlying medical conditions, including infections, malignancies, autoimmune disorders, anxiety, and depression. It may also be an adverse effect of medical treatments such as chemotherapy. Depending on the underlying cause, fatigue may or may not be relieved by rest. Exhaustion that interferes with physical and mental activities Overall tiredness and lack of energy. state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli.","Fatigue describes a state of tiredness (which is not sleepiness) or exhaustion.[1] In general usage, fatigue often follows prolonged physical or mental activity. When fatigue occurs independently of physical or mental exertion, or does not resolve after rest or sleep, it may have other causes, such as a medical condition",No Fatigue
1,C0003123,Anorexia,The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat. It is the defining characteristic of the disorder ANOREXIA NERVOSA. A lack or loss of appetite for food (as a medical condition). [HPO:probinson] Loss of appetite. clinical manifestation consisting of a physiopathological lack or loss of appetite accompanied by an aversion to food and the inability to eat.,"Anorexia nervosa (AN), often referred to simply as anorexia,[12] is an eating disorder characterized by low weight, food restriction, body image disturbance, fear of gaining weight, and an overpowering desire to be thin",No Anorexia
1,C0235896,Pulmonary infiltrates,A finding indicating the presence of an inflammatory or neoplastic cellular infiltrate in the lung parenchyma.,"A pulmonary infiltrate is a substance denser than air, such as pus, blood, or protein, which lingers within the parenchyma of the lungs.[1] Pulmonary infiltrates are associated with pneumonia, tuberculosis,[citation needed] and sarcoidosis",No Pulmonary infiltrates
0,C2055125,, ,,
1,C0850149,Nonproductive cough,A cough that is not accompanied by expectorated secretions. A cough that does not produce phlegm or mucus. [],A dry cough is a persistent cough where no mucus is present,No Nonproductive cough
1,C0232498,, ,,
1,C0277873,Nasal flaring,"Enlargement of the nostrils during breathing; although there are many possible causes, it can be a sign of respiratory distress in young infants. Widening of the nostrils upon inhalation as a manifestation of respiratory distress. [PMID:25274969, UToronto:chum]",Nasal flaring occurs when the nostrils widen while breathing. It is often a sign of trouble breathing. usually seen in children when breathing is difficult,No Nasal flaring
1,C0235592,Cervical lymphadenopathy,Enlarged lymph nodes in the neck. [] Enlargement of the cervical lymph nodes usually due to infections or involvement by malignant neoplasms.,"Cervical lymphadenopathy refers to lymphadenopathy of the cervical lymph nodes (the glands in the neck). The term lymphadenopathy strictly speaking refers to disease of the lymph nodes,[1] though it is often used to describe the enlargement of the lymph nodes. Similarly, the term lymphadenitis refers to inflammation of a lymph node, but often it is used as a synonym of lymphadenopathy",No Cervical lymphadenopathy
0,OC0031350,, ,,
0,C2215098,, ,,
1,C0420679,, ,,
1,C0036572,Seizure,"WHAT: Seizure.	Seizure: a paroxysmal transient disturbance of brain function that may be manifested as episodic impairment or loss of consciousness, abnormal motor phenomena, psychic or sensory disturbance or perturbation of the autonomic brain electrical activity.	WHY:	Seizures may occur in systemic lupus erythematosus or in necrotizing vasculitides such as polyarteritis, eosinophilic granulomatous vasculitis, aortic arch arteritis, or rheumatoid arteritis.	HOW:	A seizure probably exists when there are generalized convulsions or focal motor/sensory phenomenon. GENERALIZED CONVULSIONS may be preceded by an aura but usually have a sudden loss of consciousness with generalized muscle rigidity then generalized muscle activity. They may have incontinence of urine or feces or laceration of the tongue or buccal mucosa. This usually is followed by flaccidity, drowsiness, or complaints of a headache or sore muscles. FOCAL MOTOR/SENSORY PHENOMENON may precede generalized convulsions but may be tonic or clonic muscle activity that is limited to one extremity, one side of the body, or one side of the face or lateralized/localized sensory sensations. These may only be brief sudden involuntary muscle contractions associated with transitory loss of muscle tone and a brief loss of contact with the environment, repetitive automatic behavior patterns, feelings of familiarity or unfamiliarity associated with compulsive thinking, unpleasant epi- gastric sensations that may radiate to the head, or hallucinations of an auditory, vertiginous, olfactory, gustatory, or visual type.	REFS:	1) Steinberg, AD: ""Management of Systemic Lupus Erythematosus"". In Textbook of Rheumatology (Ch. 70). Philadelphia: W.B. Saunders Co., 1981. 2) Hunder, GG and Conn, DL: ""Necrotizing Vasculitis"". In Textbook of Rheumatology (Ch. 72). Philadelphia: W.B. Saunders Co., 1981. 3) Harris, ED Jr: ""Pathogenesis of Rheumatoid Arthritis"". In Textbook of Rheumatology (Ch. 59). Philadelphia: W.B. Saunders Co., 1981. 4) Bennet, RM and Spargo, BH: Neuropsychiatric problems in mixed connective tissue disease. Am J Med 65(6), December 1978, pp. 955-62. DN19307-1. 5) Duman, S and Ginsburg, S: ""Epilepsy (Seizures)"". In Problem- Oriented Medical Diagnosis (Ch. 10). Boston: Little, Brown and Co., 1975. Clinical or subclinical disturbances of cortical function due to a sudden, abnormal, excessive, and disorganized discharge of brain cells. Clinical manifestations include abnormal motor, sensory and psychic phenomena. Recurrent seizures are usually referred to as EPILEPSY or ""seizure disorder."" <p>Seizures are symptoms of a brain problem. They happen because of sudden, abnormal electrical activity in the brain. When people think of seizures, they often think of convulsions in which a person's body shakes rapidly and uncontrollably. Not all seizures cause convulsions. There are many types of seizures and some have mild symptoms. Seizures fall into two main groups. Focal seizures, also called partial seizures, happen in just one part of the brain. Generalized seizures are a result of abnormal activity on both sides of the brain. </p> <p>Most seizures last from 30 seconds to 2 minutes and do not cause lasting harm. However, it is a medical emergency if seizures last longer than 5 minutes or if a person has many seizures and does not wake up between them. Seizures can have many causes, including medicines, high fevers, head injuries and certain diseases. People who have recurring seizures due to a brain disorder have <a href=""https://medlineplus.gov/epilepsy.html"">epilepsy</a>. </p> <p class="""">NIH: National Institute of Neurological Disorders and Stroke</p> A seizure is an intermittent abnormality of nervous system physiology characterised by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain. [HPO:probinson, PMID:15816939] Sudden, involuntary skeletal muscular contractions of cerebral or brain stem origin. the most dramatic type of seizure, characterized by tonic and clonic contraction of most skeletal muscles. the most dramatic type of seizure","An epileptic seizure, informally known as a seizure, is a period of symptoms due to abnormally excessive or synchronous neuronal activity in the brain.[6] Outward effects vary from uncontrolled shaking movements involving much of the body with loss of consciousness (tonic-clonic seizure), to shaking movements involving only part of the body with variable levels of consciousness (focal seizure), to a subtle momentary loss of awareness (absence seizure).[3] Most of the time these episodes last less than two minutes and it takes some time to return to normal.[5][8] Loss of bladder control may occur",No Seizure
1,C0026837,Rigidity,"Continuous involuntary sustained muscle contraction which is often a manifestation of BASAL GANGLIA DISEASES. When an affected muscle is passively stretched, the degree of resistance remains constant regardless of the rate at which the muscle is stretched. This feature helps to distinguish rigidity from MUSCLE SPASTICITY. (From Adams et al., Principles of Neurology, 6th ed, p73) motor impairment whereby the hypertonic state is charcterized by bidirectional increased resistance to passive movement. An involuntary, persistent state of firm, tense muscles with marked resistance to passive movement. Continuous involuntary sustained muscle contraction. When an affected muscle is passively stretched, the degree of resistance remains constant regardless of the rate at which the muscle is stretched. This feature helps to distinguish rigidity from muscle spasticity. [HPO:probinson]",an increase in muscle tone leading to a resistance to passive movement throughout the range of motion,No Rigidity
1,C0009763,Conjunctivitis,"INFLAMMATION of the CONJUNCTIVA. Inflammation of the conjunctiva. [HPO:probinson] Inflammation of the conjunctiva of the eye. inflammation of the mucous membrane that lines the inner surface of the eyelids and the anterior part of the sclera; also called pinkeye and redeye. <p>Conjunctivitis is the medical name for pink eye. It involves inflammation of the outer layer of the eye and inside of the eyelid. It can cause swelling, itching, burning, discharge, and redness. Causes include:</p><ul> <li>Bacterial or viral infection</li> <li>Allergies </li> <li>Substances that cause irritation</li> <li>Contact lens products, eye drops, or eye ointments</li> </ul> <p>Pink eye usually does not affect vision. Infectious pink eye can easily spread from one person to another. The infection will clear in most cases without medical care, but bacterial pink eye needs treatment with antibiotic eye drops or ointment.</p> <p class="""">NIH: National Eye Institute</p>","Conjunctivitis, also known as pink eye,[4] is inflammation of the outermost layer of the white part of the eye and the inner surface of the eyelid.[5] It makes the eye appear pink or reddish.[1] Pain, burning, scratchiness, or itchiness may occur.[1] The affected eye may have increased tears or be ""stuck shut"" in the morning.[1] Swelling of the white part of the eye may also occur.[1] Itching is more common in cases due to allergies.[3] Conjunctivitis can affect one or both eyes",No Conjunctivitis
1,C0031350,Pharyngitis,"Inflammation of the throat (PHARYNX). Inflammation (due to infection or irritation) of the pharynx. [] Inflammation of the throat most often caused by viral and bacterial infections. Other causes include allergens, chemical substances, and trauma. inflammation of the throat.","Pharyngitis is inflammation of the back of the throat, known as the pharynx.[2] It typically results in a sore throat and fever.[2] Other symptoms may include a runny nose, cough, headache, difficulty swallowing, swollen lymph nodes, and a hoarse voice.[1][6] Symptoms usually last 3–5 days, but can be longer depending on cause.[2][3] Complications can include sinusitis and acute otitis media.[2] Pharyngitis is a type of upper respiratory tract infection.",No Pharyngitis
1,C1276802,Acute Onset,The start of an event or episode that is characterized as occurring suddenly or at a relatively short period of time after a reference time.,"In medicine, describing a disease as acute denotes that it is of recent onset; it occasionally denotes a short duration. ",No Acute Onset
1,C0391853,Decreased Physical Activity,A reduction in the normal physical activity for an individual.,,No Decreased Physical Activity
0,C2051411,, ,,
1,C0042963,Vomiting,"The forcible expulsion of the contents of the STOMACH through the MOUTH. Functions of moving food or liquid in the reverse direction to ingestion, from stomach to oesophagus to mouth and out, such as in gastro-esophegeal reflux, recurrent vomiting, pyloric stenosis. Forceful ejection of the contents of the stomach through the mouth by means of a series of involuntary spasmic contractions. [HPO:probinson] Expulsion of stomach contents through the mouth. Forceful ejection of the contents of the stomach through the mouth. forcible expulsion of stomach contents through the mouth.","Vomiting (also known as emesis and throwing up)[a] is the involuntary, forceful expulsion of the contents of one's stomach through the mouth and sometimes the nose_Vomiting can be the result of ailments like food poisoning, gastroenteritis, pregnancy, motion sickness, or hangover; or it can be an after effect of diseases such as brain tumors, elevated intracranial pressure, or overexposure to ionizing radiation.[2] The feeling that one is about to vomit is called nausea; it often precedes, but does not always lead to vomiting. Impairment due to alcohol or anesthesia can cause inhalation of vomit. In severe cases, where dehydration develops, intravenous fluid may be required. Antiemetics are sometimes necessary to suppress nausea and vomiting. Self-induced vomiting can be a component of an eating disorder such as bulimia, and is itself now classified as an eating disorder on its own, purging disorder",No Vomiting